id,timestamp,timestamp_iso,timestamp_est,wallet,side,price,size,usdc_value,asset,condition_id,outcome,event_slug,transaction_hash,fee_rate
,1772396043,2026-03-01 20:14:03,2026-03-01 15:14:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,94165002060877677228820545573395124561170238243939743834735708947142427955887,0xeb807707afc0fc8a7612e7aee63d858cf8ef556279e87a496bc578f04684343c,Down,sol-15min-up-or-down-2026-03-01-15:00,0x3c8f686e5f0a183db261eaa12701e2e9eef94574eaed4b93a1f6e1e8c216a573,
,1772396043,2026-03-01 20:14:03,2026-03-01 15:14:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,28972844461283728392645286312676260998340224314096218660431592510377068903244,0x52f0b4e51e3a89b20a8c61aba315b22f538b404d534c77319ccbe5e1e7eef556,Down,btc-15min-up-or-down-2026-03-01-15:00,0x19a1f2f14ed953811f92d4f7fbc5cc06198871d0f15dbdd83bfdc90c1e2a54cb,
,1772393593,2026-03-01 19:33:13,2026-03-01 14:33:13,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,1889552775901442871158751394054279984173713506835774736397409180490999638536,0x50080f7f264194010445e5a8f74595f2c805a61ec1cd53ebdfea5139a7b0a0cc,Down,sol-15min-up-or-down-2026-03-01-14:15,0x746aaf16c2eb8ba7d2e71ad0b75f3305b613d03e66ce567e8be36e38ffbd0cdb,
,1772392423,2026-03-01 19:13:43,2026-03-01 14:13:43,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,60574538795397148293827613838163772662842493099535726550051231170469116814115,0xa5d01a8356772a9e85dcc8c18f4b8b8d844a22eee0b1f7ea39d97aa9493a23b8,Down,xrp-15min-up-or-down-2026-03-01-14:00,0x0bcb7fbc1698c4314c893b31d4be5e3620b2090932d38be81f80c717da70a95f,
,1772383833,2026-03-01 16:50:33,2026-03-01 11:50:33,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,16940877702281966818674313517464645225199137082805110098175979295947467389666,0x6a2f64186dc6c13b3aab0de5f9186777ecc43b8da92e7077447de70ad6129cfb,Down,bitcoin-up-or-down-march-1-11am-et-2026-03-01-20:40,0xff6baa816803b24e46aea594ee002d8277263739f76ed3f0eeaea8595de62c29,
,1772383833,2026-03-01 16:50:33,2026-03-01 11:50:33,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,90183511929230164918615333174442178773147913739682807954584934283685678881730,0xf6b1382b0c2f1758fcea8a7d41a330821aee04cbc27bd7fa240e22b041e3c341,Down,sol-1hour-up-or-down-2026-03-01-20:40,0x812ad9c4f46ee9d51e28dbf3ee2ad2d203719057afb82c7c09a10e1ce251626a,
,1772382579,2026-03-01 16:29:39,2026-03-01 11:29:39,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.65,1.64835,110253955748934412498745956556559854646776493757273307136063388686159164325170,0xa2e958761e7f6d5ba9fb23125d57e4746329bc416833ec5cef28d0bd6baa66b0,Up,eth-15min-up-or-down-2026-03-01-11:15,0xa6ae184d1cb9b70977332f7052e6b38759657e4ef3343a72ac83713319eea5c5,
,1772382577,2026-03-01 16:29:37,2026-03-01 11:29:37,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.35,3.34665,110253955748934412498745956556559854646776493757273307136063388686159164325170,0xa2e958761e7f6d5ba9fb23125d57e4746329bc416833ec5cef28d0bd6baa66b0,Up,eth-15min-up-or-down-2026-03-01-11:15,0x998dd73dae0c842f7da1fefe8f2a8a821d27545f61de8ef5e7e169d11eb19d70,
,1772380735,2026-03-01 15:58:55,2026-03-01 10:58:55,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,11386736864828918197433222834031597534402613640223203910425757007721474189303,0x7cb8f6098e71a98ab94960285c98854f4ffa60aa1677109ffeefc2f49738f35d,Down,xrp-5min-up-or-down-2026-03-01-10:55,0x91d0885805a81dceea4f43c2fcc88c80cb40254b228aea5f99888911e4297f2f,
,1772380731,2026-03-01 15:58:51,2026-03-01 10:58:51,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,12915048241000664482832280162913726979442308313948021009326077565490781816849,0x2d4559661110099e0c14846e34ee5f7d1b82e642cb95f37828908f7abca4a809,Down,eth-5min-up-or-down-2026-03-01-10:55,0xd6e16085521f891d5c7e7235312c433bf9b7228b6c35f38ac02175beb48a7546,
,1772378195,2026-03-01 15:16:35,2026-03-01 10:16:35,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.49,1.48851,58111267308163550125963795352184167841428363009946374311266676592672866299527,0x4dbb1b486eb2a9acd7b7fc74253a67ab1895530b77504e83150391c1a09e4df8,Up,btc-5min-up-or-down-2026-03-01-10:10,0x3a0fd179f1515a6937ab7c90fff0bfa32d0d18c991182dfcbd564e59609388d5,
,1772378191,2026-03-01 15:16:31,2026-03-01 10:16:31,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.51,3.50649,58111267308163550125963795352184167841428363009946374311266676592672866299527,0x4dbb1b486eb2a9acd7b7fc74253a67ab1895530b77504e83150391c1a09e4df8,Up,btc-5min-up-or-down-2026-03-01-10:10,0x3ae7fa31eab47718db5eed91234ace4a6f53f36a0d5063de6ec3de34f1f48f9d,
,1772378053,2026-03-01 15:14:13,2026-03-01 10:14:13,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.6,1.5984,81236428261932269431989517874778015481123370024249671314236004521896912448129,0x6c554f4b6c18fd31b8e702306cd1b7090035806b0b6a3a47977905b3cf55215a,Up,btc-15min-up-or-down-2026-03-01-10:00,0xf43b2f5d18b8aef477e9034317bc0f75bfb4371750db8e977aca0285abb57e12,
,1772378051,2026-03-01 15:14:11,2026-03-01 10:14:11,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.4,3.3966,81236428261932269431989517874778015481123370024249671314236004521896912448129,0x6c554f4b6c18fd31b8e702306cd1b7090035806b0b6a3a47977905b3cf55215a,Up,btc-15min-up-or-down-2026-03-01-10:00,0x265af54acbb6766a288da96ced62bfeac5d9830a9fd7637a6da0867b9837bded,
,1772377159,2026-03-01 14:59:19,2026-03-01 09:59:19,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,95816650717366037859655533193507498038609052861421439939688650726490990681859,0x6777d2c5c3af93efe54680287bf6e5765e09cf638407768962df3129f1be3dfc,Up,sol-15min-up-or-down-2026-03-01-09:45,0x3e093fd58eb95ae2c8a9a18a8fcc982c59bdc639f12ffd70a276ba071d6fcfbf,
,1772374433,2026-03-01 14:13:53,2026-03-01 09:13:53,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,84312802939513470919889923800954199340419038912681978989127001844336191261837,0x31f6ff9b58318385b793341dbed990e6e9eb147fc0e06b7a9a6504a8bd6ed2c9,Up,eth-15min-up-or-down-2026-03-01-09:00,0xb31813b1a6995f025e9fe4fe3593ae9ce678b5292e626e94c9d81f92048706c0,
,1772373297,2026-03-01 13:54:57,2026-03-01 08:54:57,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,1405763563164781332145108293441053491841595761833103525385619385459947779446,0x85a867a606bf7a5b883283979e1b701e196e5bf735cca691407dfdc0e48d57cc,Up,sol-5min-up-or-down-2026-03-01-08:50,0x2946384c9a26d2a568354274162041160b4bf60474003fdd44849dfd970016a5,
,1772373241,2026-03-01 13:54:01,2026-03-01 08:54:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,46117465058862959058023763441316746609985837118167861934365051864845754527653,0x68433673f0b09efcc1b9c60e11dd3f926c9788487147b64df0ec65590477e788,Up,xrp-5min-up-or-down-2026-03-01-08:50,0x46918254575f75034e20eef923104227d3d5009c55a754ec3ecbb4509f4263b1,
,1772373231,2026-03-01 13:53:51,2026-03-01 08:53:51,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,63758625948624613668632484602236859571004781344600564937367242618794249036793,0x930d6677629cb80d5e3200ef075599a9e48446ab9d58201f073a465f5cda55d2,Up,eth-5min-up-or-down-2026-03-01-08:50,0x3960dfcffa617eec5f954f10c1393c84fe99254ee2f0dcf9fe914eada592eebd,
,1772373221,2026-03-01 13:53:41,2026-03-01 08:53:41,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,93232647487165241412657828432358649192127389628323134746395096439586481057058,0xfeb213efbde5b767e3af627c49b925a3583662f28866d8ac60b3db6491631071,Up,btc-5min-up-or-down-2026-03-01-08:50,0x5650fb3819b0ed5f96158d04acd6956d40420e914a63e9a7591f4665c7a0f86f,
,1772373219,2026-03-01 13:53:39,2026-03-01 08:53:39,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,74404956952833580691385249922006880633159769177204593154152157024974918899124,0x9ce23cd972c6e62211535d39c8f9eea142f23f43709b3fafd7cf6344076d955e,Up,btc-15min-up-or-down-2026-03-01-08:45,0xed53fa2bb400431c3df106c61c60d8ce29860e75803a39a3a7df79134488bd57,
,1772369981,2026-03-01 12:59:41,2026-03-01 07:59:41,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.91,1.90809,43378553197585573251892854924508541642503087612970556396844613903468916539359,0x97b63034cd4f42a938d0636a94e9ed5ce7ebfafa32ced2ea1c711ffd980abf04,Down,eth-15min-up-or-down-2026-03-01-07:45,0x0bce850d6308678d6335d11788e20e9c0808eadfebc194fe6e5ba1636820550a,
,1772369981,2026-03-01 12:59:41,2026-03-01 07:59:41,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.09,3.08691,43378553197585573251892854924508541642503087612970556396844613903468916539359,0x97b63034cd4f42a938d0636a94e9ed5ce7ebfafa32ced2ea1c711ffd980abf04,Down,eth-15min-up-or-down-2026-03-01-07:45,0x6acb91d6027fc058143874236b2beed580db61af5ba69ac5e1bc3400ea7c3a20,
,1772369823,2026-03-01 12:57:03,2026-03-01 07:57:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,14685084088614497799737348568373471410382765418777012545799020819041671612812,0x4dee80e055e0047df7b7dd5a0620a65a36887ab6ec9423a7673eee911c47cd12,Down,xrp-15min-up-or-down-2026-03-01-07:45,0xc1ee1b8bf7ce0c01bad582567f34dad0d77bd3e19293a824d7ceaad2810c7173,
,1772356779,2026-03-01 09:19:39,2026-03-01 04:19:39,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,114854578748617111753935045299462996508475968199797486363163871539980836895682,0x75effcb40b614c2d0c5381416483054c23ded786875a79d2c9ded2628b179f0e,Up,btc-5min-up-or-down-2026-03-01-04:15,0xdf4701a4dcfe3dfe7d717434cc5e3e9eb15359378e08cd73078788d922806651,
,1772356775,2026-03-01 09:19:35,2026-03-01 04:19:35,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,112958665505748696659501859736825228892375566070153079132069746567570463857536,0x1af698cf765bc82680a07d6f28188f11f79f187eb057227d66777457ce1b58b7,Up,xrp-5min-up-or-down-2026-03-01-04:15,0xc3ca64610eedca913b94f6623a5d4be521819ffbcb1d65c5a54c8af6046087e5,
,1772356563,2026-03-01 09:16:03,2026-03-01 04:16:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,96593560212258077130117765618439876920358286525249173153567610813163089977919,0x6255999d9d653e0d54f2297e0a11ed9cc7af25989abc374966922a5a53d37e9b,Up,xrp-15min-up-or-down-2026-03-01-04:00,0x19170e484ff306b3a112f101b220ede736c4024f6a71a69de252050f33a8a2bc,
,1772356559,2026-03-01 09:15:59,2026-03-01 04:15:59,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,97711480133594209168371256380081068654887166851653339023898352901220695277689,0x3318c0ebe2046c420303345475a3b39ca8d258ec5227490c0f47d10ee4f7f48e,Up,eth-15min-up-or-down-2026-03-01-04:00,0xca417a6dc6e0183637b9e734dacc95cd8c4aa8b4a72368e7ac99150017a9c45d,
,1772355361,2026-03-01 08:56:01,2026-03-01 03:56:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.0,2.997,65410377916093570969657507445899248933122951577777620570164724362888184550662,0xefef504a664f94e20aecf8171a5c9d4a5d0296bba6261d12a5892667f3cd3f55,Down,sol-5min-up-or-down-2026-03-01-03:50,0xafffd82dfb4846a5c7ac6c4d95b560d6bfdb0c60592d3ebb33292a7139fb3ea0,
,1772355311,2026-03-01 08:55:11,2026-03-01 03:55:11,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,2.0,1.998,65410377916093570969657507445899248933122951577777620570164724362888184550662,0xefef504a664f94e20aecf8171a5c9d4a5d0296bba6261d12a5892667f3cd3f55,Down,sol-5min-up-or-down-2026-03-01-03:50,0x8f95fd7a118dc85fe2efb839114f25c9e49aa9ed59cab3d00be9b03602fac081,
,1772355211,2026-03-01 08:53:31,2026-03-01 03:53:31,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.02,1.01898,65410395674672629281962489010316105594863344741181072837961381347525930323752,0xdabd7f764604026d8a8f93d45b2c3b459a244abc05ec4e80f85df316249d77da,Down,btc-5min-up-or-down-2026-03-01-03:50,0x03e00c458963305c45f85ddee292082fce3485388386a0caebc4bd600bcb0632,
,1772355211,2026-03-01 08:53:31,2026-03-01 03:53:31,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,2.96,2.95704,65410395674672629281962489010316105594863344741181072837961381347525930323752,0xdabd7f764604026d8a8f93d45b2c3b459a244abc05ec4e80f85df316249d77da,Down,btc-5min-up-or-down-2026-03-01-03:50,0xfb46613aa103f49130af9c2afb3e24358aab6acf9d32a928a3298f252d60df0e,
,1772355211,2026-03-01 08:53:31,2026-03-01 03:53:31,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.02,1.01898,65410395674672629281962489010316105594863344741181072837961381347525930323752,0xdabd7f764604026d8a8f93d45b2c3b459a244abc05ec4e80f85df316249d77da,Down,btc-5min-up-or-down-2026-03-01-03:50,0x8f51bd6120a5636fa061eaf42d06e1a37f6291cb1e671d695755a64202ed3945,
,1772349253,2026-03-01 07:14:13,2026-03-01 02:14:13,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,20293522474258927323095583640521096785163774301601470457997265056058867380752,0x256b14001e72cec70c8112e05d1571bc27dad0c0152c4bb844467b97a050bf07,Up,eth-5min-up-or-down-2026-03-01-02:10,0x22c155fed384b2588458d49ec5edbef23c39460388155124e6955726c234e5dd,
,1772347449,2026-03-01 06:44:09,2026-03-01 01:44:09,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.43,1.42857,100178684790687049721357662876866211040360040959878199433129575574904763653627,0x0f765183e23c59bd03f42f8b3d5c9b1c3f3c2fa112f6f8ad7fec16f1708905d6,Down,btc-15min-up-or-down-2026-03-01-01:30,0x70b3bfb3868525e4548a8800bd13d4cd672f24c91eec889f5361ff34986974c5,
,1772347447,2026-03-01 06:44:07,2026-03-01 01:44:07,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.57,3.56643,100178684790687049721357662876866211040360040959878199433129575574904763653627,0x0f765183e23c59bd03f42f8b3d5c9b1c3f3c2fa112f6f8ad7fec16f1708905d6,Down,btc-15min-up-or-down-2026-03-01-01:30,0x18d83701ae530185f91d1f47d4e54d9788fb33056c8427007ee62c2c33263e6a,
,1772347445,2026-03-01 06:44:05,2026-03-01 01:44:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,98087089744900043680968461122786576519913396503327270922828164026415680131363,0x81449b3c911c57578f436ce8243c7eef41cf7112e7ecfac07ce5d4290b245d38,Down,xrp-15min-up-or-down-2026-03-01-01:30,0xf945f395849ea723f8c363e5658610483944804a72c0c86ad5ae2ec7c13d1304,
,1772347381,2026-03-01 06:43:01,2026-03-01 01:43:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,6579970782054884151235537020290408108575573460490833996488707387461665626864,0xfeb8cc5305eeada64a325de4b3c57ce4d2c5f6d0c15179ff8408c3041c74bd20,Down,eth-15min-up-or-down-2026-03-01-01:30,0xb0563a1e90f186622f6cd7c6929ca70b1d01ca55e3fa9dcb06b2efe816faaada,
,1772346605,2026-03-01 06:30:05,2026-03-01 01:30:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,18243075042846966054826466871637476120372584614519392917542113662482269646730,0xe6287336ce25914e12ea1302f79001331f8d160527622f57aed36cfa4334ee66,Up,sol-15min-up-or-down-2026-03-01-01:15,0x0d570aeda5b883f059a37deda764395e8a5231a2aaacc17278ac4467c0fa61b5,
,1772345657,2026-03-01 06:14:17,2026-03-01 01:14:17,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.0,0.999,3308062181212486979155416627788037081086071660595521387556319814758670539982,0x6e843eec6ffd65a9d6ec03191e7d8dce0ca728fea86bde41874fc216173f8c0f,Down,btc-15min-up-or-down-2026-03-01-01:00,0xbbad9dc72697b0aff8a564a5690c809e0f10124e48b687ab85652583119d4412,
,1772345403,2026-03-01 06:10:03,2026-03-01 01:10:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.998,5.0,4.99,115108508508608481462037230790401914567318980568538507393657688018111241830743,0xe69716f7ba44121fedd62e7e63336303abdf40ef94a82913e9ccc9120c86482d,Down,sol-15min-up-or-down-2026-03-01-01:00,0xbb739c608355b507bd786c40abb02ea74302716e03946df1f0240982aace4034,
,1772343875,2026-03-01 05:44:35,2026-03-01 00:44:35,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,24543498361457517134327989753688723078348284658921605157001811689769652695953,0x522178288a701e2b07d5cb0a1443624f00fd021015f3249bfa479ff79678ce44,Down,xrp-15min-up-or-down-2026-03-01-00:30,0x50353cd2bb8d560488abc9f97cb62901686194f110f65b6651d62c793f42f105,
,1772343807,2026-03-01 05:43:27,2026-03-01 00:43:27,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,71954836255746559827930885756750125525677367988417250390758540581691806125892,0xc43467a79295f7215f7160bce2806b75f86e96c467c876dcd527b3bfc83a70c1,Down,sol-15min-up-or-down-2026-03-01-00:30,0x879dc1fc6c01c5ba71e529c16a009404b3402c038b2e6ac6c50c6b8a3a3b2642,
,1772342973,2026-03-01 05:29:33,2026-03-01 00:29:33,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,104251289243214893127298863703580124994543394065320348688309057457047038166078,0xfa67de79edd67cfedd5ec3c973df32e73895e20a4f000f32d213bf33d16150a2,Up,sol-15min-up-or-down-2026-03-01-00:15,0x1ff346e0ab6bb679bdc228d846b8378bf46bd14291102576d955d55502f8e71f,
,1772342765,2026-03-01 05:26:05,2026-03-01 00:26:05,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,45007169676601408067776954371281133363497290810650733214066913180402638823596,0x8d724154b43d7f06bd17f42cc5a9a5a069bc953f5d66119ca6fb5d9c97e7009c,Up,eth-15min-up-or-down-2026-03-01-00:15,0xfc26b63239c763919322f98316848c869c74b7cec76cd0f0a5c6ebd7d433706f,
,1772342631,2026-03-01 05:23:51,2026-03-01 00:23:51,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,75440038993345902690715828445232804410351572491049896654345890909321159940264,0x0d54c2e0530961882f1b0b2b1fc43e430eca457fc9a6a641821b53576ad25ee7,Up,eth-5min-up-or-down-2026-03-01-00:20,0x1fba6c9fd1b3ea86a6c1c51f1e028443ffa665a3ff449921defffbeec39ef4c4,
