id,timestamp,timestamp_iso,timestamp_est,wallet,side,price,size,usdc_value,asset,condition_id,outcome,event_slug,transaction_hash,fee_rate,expiry_ts,is_post_expiry
,1772565269,2026-03-03 19:14:29,2026-03-03 14:14:29,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,109349779963148998832924853049309818249747333667336181639135685069555875574457,0x781751e623551e77247eaceb6fc95afcd1a9ecdc25aa6d7bfb261dc1c89a4597,Down,xrp-15min-up-or-down-2026-03-03-14:00,0xc2d641f14a35ab37214e4c8c3e33a9eaa58dca8cda7eaea7f57cd223b05e7c1a,,1772565300,False
,1772565007,2026-03-03 19:10:07,2026-03-03 14:10:07,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,30551384026173812126922040723465390110261668199030280857404541959024010560200,0xccb4e373311c5a833c2c09299bd2f54d95d0cc488690a2aafd4cedac6c1d08a3,Down,xrp-5min-up-or-down-2026-03-03-14:05,0xa22e303f896f69a078f90d8dd3148e3849bfa072a78de3e9373b040ad3eb5760,,1772565000,True
,1772565007,2026-03-03 19:10:07,2026-03-03 14:10:07,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,83254156433179787398424470231052028041303279348156413874230943240834896413757,0xd4839b6a39757a6d0ae1d1663dce2e858e08869825a6ad80f2f3768b2454d7fe,Down,sol-5min-up-or-down-2026-03-03-14:05,0x47e0c2ef2260bae1e8addba3fa43625e2abcb46bcd7e14c30c98fd550a502590,,1772565000,True
,1772565001,2026-03-03 19:10:01,2026-03-03 14:10:01,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,3132012138094455908897375001145344451644040019922567501435365615671101944594,0x8e84c6f6d98dad6467d08cafe7f36ed14b000aab804be5b3ad66ed8655693096,Down,eth-5min-up-or-down-2026-03-03-14:05,0xe0bb69112702827aaf45cb02b42de287718cfacf6ba16416f9b9eb7e95b3463b,,1772565000,True
,1772564999,2026-03-03 19:09:59,2026-03-03 14:09:59,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,74030097172388092093094702318487269270407618824479395239427837136521643864236,0xdc5f89903d267b12e5e3ecedb0eaca4ed3f67b8c64d1997f51822f63e4159c71,Down,btc-5min-up-or-down-2026-03-03-14:05,0x005e22e079e26a563be4af7ecdd84eaa6aa4970043fd7dfc4c6cca2c8274b6b2,,1772565000,False
,1772563449,2026-03-03 18:44:09,2026-03-03 13:44:09,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,79706158545030030701678388966103661358927661863455904036795630020097715933338,0x3b2815907d0cb2ebc205d853dfbbbb739e8419871c38dc4aec42e8887f856b15,Up,eth-15min-up-or-down-2026-03-03-13:30,0x49eb4f92147bdc15d4e1942e006c6b97edbd709c7964c07edfe057f55b89ae95,,1772563500,False
,1772563443,2026-03-03 18:44:03,2026-03-03 13:44:03,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,67884556985188819020679516081982131208109793596231667555305931570324660454436,0x2c916db943febf0d85a67be1e7b7444ce191a1897db4e8e79b0923a69f76a3f1,Up,sol-15min-up-or-down-2026-03-03-13:30,0x48849da55792db433ad930c2148f6f16d2bdd14d43d18936de264803a3e22958,,1772563500,False
,1772560795,2026-03-03 17:59:55,2026-03-03 12:59:55,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,3.65,3.64635,93044890460469816380845968320764774063159266189232902315330588156405284939750,0x89a54f036fadbf7819995e66ddc62b17dafa9912097acd057f8463d542a3caab,Up,eth-15min-up-or-down-2026-03-03-12:45,0xf6004016c544b7b6f963aa052b0ac371bf577e56d97bff7a187c379713d8fea8,,1772560800,False
,1772560795,2026-03-03 17:59:55,2026-03-03 12:59:55,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,1.35,1.34865,93044890460469816380845968320764774063159266189232902315330588156405284939750,0x89a54f036fadbf7819995e66ddc62b17dafa9912097acd057f8463d542a3caab,Up,eth-15min-up-or-down-2026-03-03-12:45,0xb597bc4e1064a0fd4c3bd2340e5c52d490db3618fe47c22a9234fb8bd011904c,,1772560800,False
,1772558961,2026-03-03 17:29:21,2026-03-03 12:29:21,0xd015de9ba4b79a2e439d59f90c8236dbee940649,BUY,0.999,5.0,4.995,111839817242482808061322497820300167425494308949448482513118621295802893910452,0xb7d141a7069007aff4adc8755d79de2ae2698bb0047eda8a0310a475e4418103,Up,btc-15min-up-or-down-2026-03-03-12:15,0x83497694f64590e2d749ed1979489dfb6e5a96c33eedb661fc50b2be532dc319,,1772559000,False
